GEOID,median_income,total_population,total_households,transit_score,is_transit_desert,transit_dependency_score,transit_dependency_weight,transit_hardship_index,vulnerability_segment,affected_workers_estimate,transit_dependent_population_estimate,forced_drive_commuters_estimate,ht_burdened_households_estimate,lost_wages_annual,healthcare_annual,environment_annual,education_annual,forgone_affordability_annual,cost_of_inaction_annual,cumulative_delay_1yr_cost,cumulative_delay_3yr_cost,cumulative_delay_5yr_cost,safety_warning_score,displacement_risk_score
39049002100,84605.0,2334.0,1660.0,0.0077,False,0.12774362131101516,1.1277,44.18,Moderate hardship,56.0,92.79759036144578,55.57,228.0,16894.08,7027.8,20762.55,2513.9,0.0,47198.33,48655.1,150530.38,258834.33,0.0,45.8
39049002200,109514.0,3501.0,2398.0,0.0415,False,0.10473726540286574,1.1047,41.25,Moderate hardship,121.0,175.19599666388658,115.98,195.0,71610.23,13355.64,43040.07,606.74,0.0,128612.68,132803.32,411553.88,708833.65,0.0,35.55
39049002300,49139.0,1878.0,796.0,0.051,False,0.29495133863595197,1.295,51.39,High-need transit burden,24.0,193.46231155778892,22.78,146.0,3457.4,19677.6,8437.44,11589.25,393464.12,436625.81,449786.24,1390473.31,2388831.59,7.37,57.21
39049002510,45172.0,2756.0,1131.0,0.0612,False,0.35180339379845127,1.3518,58.72,High-need transit burden,40.0,421.5632183908046,37.55,173.0,38153.62,49882.45,13879.41,28780.86,948120.89,1078817.23,1111533.3,3436835.67,5905591.71,17.59,50.1
39049002520,68690.0,2428.0,1274.0,0.0402,False,0.3150286303424084,1.315,48.1,Moderate hardship,118.0,226.7912087912088,113.26,119.0,35129.6,22908.03,42041.7,9389.1,0.0,109468.43,112892.54,349422.42,601109.79,0.0,36.62
39049002600,34080.0,4929.0,1804.0,0.0268,False,0.40917215695316356,1.4092,60.81,High-need transit burden,182.0,915.3076496674058,177.12,353.0,79101.11,120505.31,65923.93,45163.78,3548990.16,3859684.29,3976535.34,12294601.33,21124532.28,20.46,62.5
39049002710,42193.0,2305.0,1250.0,0.0128,False,0.3019471391360209,1.3019,57.25,High-need transit burden,104.0,319.012,102.67,303.0,43099.75,35265.8,38321.27,12870.78,984118.25,1113675.85,1147407.33,3547591.57,6095555.85,0.0,65.96
39049002730,27730.0,2374.0,1063.0,0.014,False,0.4196666415295097,1.4197,69.08,High-need transit burden,120.0,460.0602069614299,118.32,277.0,97518.14,61972.21,44151.96,11971.35,3597789.4,3813403.06,3928786.08,12146664.12,20869641.56,0.0,72.32
39049002740,97788.0,2485.0,1107.0,0.0128,False,0.2809106249870194,1.2809,48.51,Moderate hardship,36.0,80.8130081300813,35.54,84.0,36955.43,6816.73,13265.2,12663.17,0.0,69700.53,71784.31,221883.46,381180.19,7.02,37.97
39049002750,36447.0,3020.0,1021.0,0.0096,False,0.35778477395538644,1.3578,56.86,High-need transit burden,89.0,428.8932419196866,88.15,145.0,33943.64,49827.82,32922.84,35488.71,1265797.17,1417980.18,1460633.31,4515129.62,7756464.62,0.0,53.03
39049002760,63852.0,3310.0,1737.0,0.0268,False,0.37898333619602464,1.379,54.67,High-need transit burden,98.0,577.392055267703,95.37,303.0,59073.42,72774.02,35496.64,14123.08,0.0,181467.16,187866.45,583782.79,1008352.81,0.0,47.15
39049002770,37458.0,2189.0,934.0,0.0134,False,0.3711410899048861,1.3711,59.41,High-need transit burden,131.0,382.0203426124197,129.24,163.0,75059.1,47881.19,48232.64,20199.47,1086672.02,1278044.42,1316874.51,4071951.38,6997245.73,0.0,56.25
39049002780,88438.0,2569.0,1162.0,0.0045,False,0.38889267038260555,1.3889,49.82,Moderate hardship,16.0,351.5240963855422,15.93,159.0,7827.67,41319.03,5955.72,5115.43,0.0,60217.85,62561.45,195110.24,338261.82,0.0,36.47
39049002800,47637.0,2765.0,1340.0,0.0638,False,0.4495633866842764,1.4496,63.77,High-need transit burden,185.0,627.2835820895522,173.2,304.0,243753.65,91691.05,63985.3,26320.28,414656.34,840406.62,867419.26,2686931.73,4625719.97,0.0,54.36
39049002900,23750.0,2576.0,1047.0,0.0102,False,0.7065107378490643,1.7065,66.41,High-need transit burden,248.0,1235.1021967526265,245.47,502.0,28453.54,308364.64,91668.71,52707.22,6944881.27,7426075.38,7652218.31,23663200.33,40665329.55,17.66,59.43
39049003000,77039.0,3740.0,2504.0,1.0,False,0.327035943319265,1.327,33.58,"Lower-risk, better-served",165.0,660.1757188498402,0.0,442.0,124121.74,80398.17,0.0,0.0,0.0,204519.91,212482.09,662604.87,1148522.17,8.18,44.03
39049003200,90100.0,3067.0,1858.0,0.0134,False,0.18933070146348652,1.1893,47.2,Moderate hardship,27.0,138.65877287405812,26.64,359.0,9889.4,11236.39,9942.1,0.0,0.0,31067.89,32168.21,99971.52,172690.32,0.0,51.95
