GEOID,housing_cost_ratio,transport_cost_ratio,ht_combined_ratio,ht_above_threshold
39049007955,0.2391578947368421,0.0935672514619883,0.3327251461988304,False
39049007956,0.20055710306406685,0.09457442459619535,0.2951315276602622,False
39049007957,0.19822901556647687,0.10825088224469029,0.30647989781116713,False
39049007958,0.2854871261696532,0.06795370993279379,0.35344083610244703,False
39049007959,0.18571304799861377,0.10830012129613585,0.29401316929474963,False
39049007960,0.21888,0.1032258064516129,0.3221058064516129,False
39049007961,0.1352197760385874,0.058536699583804065,0.19375647562239146,False
39049007962,0.17546641510191383,0.09814236825466918,0.273608783356583,False
39049007963,,0.07987986068952296,,False
39049007964,0.1840251572327044,0.10350524109014675,0.28753039832285116,False
39049007965,0.23031727379553465,0.13447484751832578,0.3647921213138604,False
39049007966,0.17858890191036422,0.11228708939685283,0.2908759913072171,False
39049008001,0.1474437116032001,0.08072914564345166,0.22817285724665176,False
39049008002,,0.10249472152184162,,False
39049008110,0.225145812491742,0.18582457200022648,0.4109703844919685,False
39049008120,0.2411704554393141,0.18780775584047824,0.4289782112797923,False
39049008132,0.2306085255811886,0.14317760886636738,0.373786134447556,False
39049008163,0.24186009821129234,0.18233380006705188,0.4241938982783442,False
39049008164,0.2312720933610963,0.15664778138266103,0.38791987474375733,False
39049008165,0.21542347333686399,0.13579391914830055,0.35121739248516454,False
39049008166,0.19905841896262333,0.08115609776067466,0.280214516723298,False
39049008167,0.21837074745142288,0.13066558207271153,0.34903632952413444,False
39049008168,0.25391601335092756,0.1515050842195141,0.40542109757044165,False
39049008169,0.20363617004285675,0.13309553597572338,0.33673170601858016,False
39049008170,0.17518945995200016,0.09781610683450014,0.2730055667865003,False
39049008171,0.24830737141816617,0.16431988610968565,0.4126272575278518,False
39049008172,0.19122581525757248,0.10614556911632562,0.2973713843738981,False
39049008210,0.2348662839397716,0.19477393915868185,0.42964022309845346,False
39049008230,0.46355120060299343,0.2467104554753957,0.7102616560783891,True
39049008241,0.31505279528525826,0.20404354587869364,0.5190963411639519,True
39049008242,0.22637103345941936,0.12162638806115375,0.3479974215205731,False
39049008311,0.31403940886699505,0.19667487684729065,0.5107142857142857,True
39049008312,0.32850306214651454,0.31029751347009804,0.6388005756166126,True
39049008321,0.2294144517569831,0.15980509922682593,0.389219550983809,False
39049008322,0.23791745512197618,0.1691948379617791,0.4071122930837553,False
39049008330,0.28482391808617824,0.22504744722228728,0.5098713653084656,True
39049008340,0.2395458019434436,0.17710812679695745,0.4166539287404011,False
39049008350,0.2758644839359188,0.17234001575768187,0.44820449969360066,False
39049008360,0.19202166676070642,0.11267618349037972,0.30469785025108614,False
39049008380,0.17205235431488622,0.10200619127790149,0.2740585455927877,False
39049008381,0.24179822397631967,0.15416872224963,0.39596694622594963,False
39049008382,0.1983131834653497,0.10668205966926424,0.30499524313461396,False
39049008400,0.10855658627087199,0.07421150278293136,0.18276808905380335,False
39049008500,0.20687213579057098,0.09834195464469052,0.3052140904352615,False
39049008710,0.26173201091659454,0.21403625551931482,0.47576826643590936,True
39049008720,0.20455945779420825,0.22438556856301772,0.428945026357226,False
39049008730,0.376992700729927,0.2503941605839416,0.6273868613138687,True
39049008811,0.24865536674738037,0.20209569931643348,0.4507510660638139,True
39049008812,0.21027190332326284,0.12278974095262583,0.3330616442758887,False
39049008813,0.2662039664650461,0.16216128561467236,0.4283652520797185,False
39049008821,0.25761097567889335,0.18897518755787365,0.44658616323676703,False
39049008822,0.2539177209978868,0.26900128989763156,0.5229190108955184,True
39049008825,0.22780881440099318,0.122284295468653,0.3500931098696462,False
39049008900,0.12686208553580008,0.09198240490888257,0.21884449044468265,False
39049009000,0.10333708380738069,0.06285710693879604,0.16619419074617672,False
39049009100,0.08877517315143475,0.052216495656140394,0.14099166880757513,False
39049009220,0.3200955223880597,0.22948298507462686,0.5495785074626865,True
39049009230,0.2557144792614241,0.18120657286082026,0.43692105212224436,False
39049009240,0.23287247669950087,0.1431629783412106,0.37603545504071145,False
39049009250,0.23794573515317757,0.16124789318880334,0.3991936283419809,False
39049009251,0.3017460894870862,0.21842488177519098,0.5201709712622772,True
39049009252,0.31771307976401747,0.21539642189073818,0.5331095016547557,True
39049009311,0.2553317340869508,0.16430613519108803,0.4196378692780388,False
39049009312,0.27359152682957955,0.2056360194814862,0.47922754631106573,True
39049009321,0.2658634392408049,0.18037778301972382,0.44624122226052876,False
39049009322,0.2829566775409476,0.1680701813694833,0.45102685891043093,True
39049009323,0.2949901768172888,0.22532416502946956,0.5203143418467584,True
39049009325,0.4218447155398472,0.36502109223577694,0.7868658077756241,True
39049009326,0.25307305836328614,0.1870008141867069,0.44007387254999303,False
39049009332,0.2788949330725506,0.14901289652221747,0.42790782959476803,False
39049009334,0.3822762814943527,0.2054859128707956,0.5877621943651483,True
39049009336,0.21200137551581844,0.14328289775332417,0.3552842732691426,False
39049009337,0.21684461927507728,0.17163529081202586,0.38847991008710314,False
39049009340,0.40240549828178696,0.26781214203894615,0.6702176403207332,True
39049009350,0.2506431695394906,0.14639825057885258,0.3970414201183432,False
39049009361,0.22807886654116716,0.1615641203474355,0.38964298688860266,False
39049009372,0.2489844823051521,0.13219556386802656,0.3811800461731787,False
39049009373,0.2637753863581196,0.13417482536343286,0.3979502117215524,False
39049009381,0.32265365853658534,0.1900019512195122,0.5126556097560975,True
39049009382,0.2549736688121709,0.17554125219426564,0.4305149210064365,False
39049009383,0.21335713887184066,0.17622049880042406,0.3895776376722647,False
39049009384,0.21721323727242833,0.1336163343397806,0.35082957161220896,False
39049009385,0.17900107221547995,0.11475297804903914,0.29375405026451906,False
39049009386,0.3199100112485939,0.22346006749156352,0.5433700787401574,True
39049009390,0.14067807077132094,0.10116305399452438,0.24184112476584532,False
39049009391,0.22968991860987667,0.1626604084485944,0.39235032705847106,False
39049009392,0.3179942502884634,0.19556841961160112,0.5135626699000645,True
39049009393,0.323761033522876,0.22000904094596846,0.5437700744688445,True
39049009394,0.2126378665663288,0.11642640453401688,0.3290642711003457,False
39049009395,0.20150288644499628,0.10750260693821825,0.30900549338321454,False
39049009396,0.27811344575705654,0.20880151501487962,0.4869149607719362,True
39049009397,0.27982908275690277,0.19098277414780893,0.4708118569047117,True
39049009401,0.1934694163043098,0.11596973688812208,0.30943915319243187,False
39049009403,0.15818181818181817,0.1119181818181818,0.2701,False
39049009404,0.1501246034208393,0.1000830689472262,0.2502076723680655,False
39049009405,0.16510676455752957,0.07005548394328308,0.23516224850081263,False
39049009410,0.2301854671446212,0.11988826413782355,0.3500737312824448,False
39049009420,0.25031442020913436,0.16433217147579862,0.414646591684933,False
39049009440,0.14042742464999047,0.1014889966746447,0.24191642132463517,False
39049009495,0.19062268398752674,0.13718344916308922,0.32780613315061596,False
