GEOID,affected_workers_estimate,lost_wages_annual,transit_dependent_population_estimate,healthcare_annual,forced_drive_commuters_estimate,environment_annual,education_annual,ht_burdened_households_estimate,forgone_affordability_annual,cost_of_inaction_annual,annual_cost_year_1,annual_cost_year_2,annual_cost_year_3,annual_cost_year_4,annual_cost_year_5,cumulative_delay_1yr_cost,cumulative_delay_3yr_cost,cumulative_delay_5yr_cost,safety_warning_score,displacement_risk_score
39049002100,56.0,16894.08,92.79759036144578,7027.8,55.57,20762.55,2513.9,228.0,0.0,47198.33,48655.1,50160.14,51715.14,53321.85,54982.1,48655.1,150530.38,258834.33,0.0,45.8
39049002200,121.0,71610.23,175.19599666388658,13355.64,115.98,43040.07,606.74,195.0,0.0,128612.68,132803.32,137135.72,141614.84,146245.81,151033.96,132803.32,411553.88,708833.65,0.0,35.55
39049002300,24.0,3457.4,193.46231155778892,19677.6,22.78,8437.44,11589.25,146.0,393464.12,436625.81,449786.24,463351.82,477335.25,491749.67,506608.61,449786.24,1390473.31,2388831.59,7.37,57.21
39049002510,40.0,38153.62,421.5632183908046,49882.45,37.55,13879.41,28780.86,173.0,948120.89,1078817.23,1111533.3,1145263.25,1180039.12,1215894.0,1252862.04,1111533.3,3436835.67,5905591.71,17.59,50.1
39049002520,118.0,35129.6,226.7912087912088,22908.03,113.26,42041.7,9389.1,119.0,0.0,109468.43,112892.54,116433.7,120096.18,123884.4,127802.97,112892.54,349422.42,601109.79,0.0,36.62
39049002600,182.0,79101.11,915.3076496674058,120505.31,177.12,65923.93,45163.78,353.0,3548990.16,3859684.29,3976535.34,4096969.1,4221096.89,4349033.52,4480897.43,3976535.34,12294601.33,21124532.28,20.46,62.5
39049002710,104.0,43099.75,319.012,35265.8,102.67,38321.27,12870.78,303.0,984118.25,1113675.85,1147407.33,1182174.53,1218009.71,1254946.14,1293018.14,1147407.33,3547591.57,6095555.85,0.0,65.96
39049002730,120.0,97518.14,460.0602069614299,61972.21,118.32,44151.96,11971.35,277.0,3597789.4,3813403.06,3928786.08,4047681.39,4170196.65,4296442.89,4426534.55,3928786.08,12146664.12,20869641.56,0.0,72.32
39049002740,36.0,36955.43,80.8130081300813,6816.73,35.54,13265.2,12663.17,84.0,0.0,69700.53,71784.31,73937.28,76161.87,78460.61,80836.12,71784.31,221883.46,381180.19,7.02,37.97
39049002750,89.0,33943.64,428.8932419196866,49827.82,88.15,32922.84,35488.71,145.0,1265797.17,1417980.18,1460633.31,1504593.83,1549902.48,1596601.31,1644733.69,1460633.31,4515129.62,7756464.62,0.0,53.03
39049002760,98.0,59073.42,577.392055267703,72774.02,95.37,35496.64,14123.08,303.0,0.0,181467.16,187866.45,194509.7,201406.64,208567.42,216002.6,187866.45,583782.79,1008352.81,0.0,47.15
39049002770,131.0,75059.1,382.0203426124197,47881.19,129.24,48232.64,20199.47,163.0,1086672.02,1278044.42,1316874.51,1356904.57,1398172.3,1440716.63,1484577.72,1316874.51,4071951.38,6997245.73,0.0,56.25
39049002780,16.0,7827.67,351.5240963855422,41319.03,15.93,5955.72,5115.43,159.0,0.0,60217.85,62561.45,65002.77,67546.02,70195.57,72956.01,62561.45,195110.24,338261.82,0.0,36.47
39049002800,185.0,243753.65,627.2835820895522,91691.05,173.2,63985.3,26320.28,304.0,414656.34,840406.62,867419.26,895333.15,924179.32,953989.94,984798.3,867419.26,2686931.73,4625719.97,0.0,54.36
39049002900,248.0,28453.54,1235.1021967526265,308364.64,245.47,91668.71,52707.22,502.0,6944881.27,7426075.38,7652218.31,7885335.8,8125646.22,8373374.89,8628754.33,7652218.31,23663200.33,40665329.55,17.66,59.43
39049003000,165.0,124121.74,660.1757188498402,80398.17,0.0,0.0,0.0,442.0,0.0,204519.91,212482.09,220759.12,229363.66,238308.86,247608.44,212482.09,662604.87,1148522.17,8.18,44.03
39049003200,27.0,9889.4,138.65877287405812,11236.39,26.64,9942.1,0.0,359.0,0.0,31067.89,32168.21,33309.61,34493.7,35722.14,36996.66,32168.21,99971.52,172690.32,0.0,51.95
39049003600,61.0,22848.2,443.6542372881356,62591.43,57.11,21098.16,11364.23,264.0,0.0,117902.02,122182.15,126631.83,131258.11,136068.31,141070.08,122182.15,380072.09,657210.48,0.0,51.75
39049003700,56.0,49374.02,444.0012033694344,46841.79,52.89,19572.01,21972.79,218.0,0.0,137760.61,142349.55,147109.23,152046.38,157167.99,162481.35,142349.55,441505.16,761154.5,0.0,42.9
39049003800,100.0,45361.63,148.3978243978244,12651.91,96.75,35969.01,4016.86,219.0,0.0,97999.41,101103.83,104312.5,107629.08,111057.38,114601.33,101103.83,313045.41,538704.12,0.0,51.89
39049004001,83.0,9893.85,306.33565217391305,40188.18,81.26,30280.19,0.0,292.0,1867303.72,1947665.94,2006596.81,2067320.68,2129892.52,2194369.02,2260808.62,2006596.81,6203810.01,10658987.65,0.0,68.24
39049004002,562.0,437626.76,978.8066748066748,157625.94,126.51,40003.82,0.0,709.0,0.0,635256.52,658666.72,682957.21,708161.73,734315.37,761454.56,658666.72,2049785.66,3545555.59,0.0,52.18
39049004200,5.0,2153.07,82.97560975609755,7661.82,4.81,1786.14,2256.25,143.0,301192.51,315049.79,324577.43,334395.74,344513.68,354940.46,365685.63,324577.43,1003486.85,1724112.94,0.0,59.42
39049004301,35.0,19649.42,38.379204892966364,2703.49,34.82,13016.53,986.41,371.0,0.0,36355.85,37502.49,38686.95,39910.52,41174.55,42480.43,37502.49,116099.96,199754.94,3.27,53.57
