AREA_TITLE,OCC_CODE,OCC_TITLE,H_MEAN,H_MEDIAN,A_MEAN,A_MEDIAN
"Cincinnati, OH-KY-IN",49-9052,Telecommunications Line Installers and Repairers,29.49,28.3,61340.0,58860.0
"Cincinnati, OH-KY-IN",49-9062,Medical Equipment Repairers,30.19,29.28,62800.0,60900.0
"Cincinnati, OH-KY-IN",49-9069,"Precision Instrument and Equipment Repairers, All Other",36.92,34.77,76790.0,72320.0
"Cincinnati, OH-KY-IN",49-9071,"Maintenance and Repair Workers, General",26.32,25.15,54740.0,52310.0
"Cincinnati, OH-KY-IN",49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",23.41,20.77,48700.0,43200.0
"Cincinnati, OH-KY-IN",49-9094,Locksmiths and Safe Repairers,23.84,21.69,49580.0,45120.0
"Cincinnati, OH-KY-IN",49-9096,Riggers,32.01,27.26,66570.0,56710.0
"Cincinnati, OH-KY-IN",49-9098,"Helpers--Installation, Maintenance, and Repair Workers",19.54,18.54,40640.0,38570.0
"Cincinnati, OH-KY-IN",49-9099,"Installation, Maintenance, and Repair Workers, All Other",25.33,23.64,52680.0,49170.0
"Cincinnati, OH-KY-IN",51-0000,Production Occupations,23.83,22.32,49560.0,46420.0
"Cincinnati, OH-KY-IN",51-1011,First-Line Supervisors of Production and Operating Workers,35.49,34.88,73810.0,72540.0
"Cincinnati, OH-KY-IN",51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",21.32,18.04,44350.0,37530.0
"Cincinnati, OH-KY-IN",51-2021,"Coil Winders, Tapers, and Finishers",22.29,22.68,46350.0,47180.0
"Cincinnati, OH-KY-IN",51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",22.56,22.15,46920.0,46070.0
"Cincinnati, OH-KY-IN",51-2031,Engine and Other Machine Assemblers,,,,
"Cincinnati, OH-KY-IN",51-2041,Structural Metal Fabricators and Fitters,24.8,24.06,51590.0,50040.0
"Cincinnati, OH-KY-IN",51-2051,Fiberglass Laminators and Fabricators,21.73,22.72,45190.0,47260.0
"Cincinnati, OH-KY-IN",51-2090,Miscellaneous Assemblers and Fabricators,20.86,19.59,43390.0,40750.0
"Cincinnati, OH-KY-IN",51-3011,Bakers,16.4,15.47,34120.0,32180.0
"Cincinnati, OH-KY-IN",51-3021,Butchers and Meat Cutters,18.86,18.05,39240.0,37550.0
"Cincinnati, OH-KY-IN",51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",19.02,18.98,39570.0,39480.0
"Cincinnati, OH-KY-IN",51-3023,Slaughterers and Meat Packers,17.76,16.8,36950.0,34940.0
"Cincinnati, OH-KY-IN",51-3092,Food Batchmakers,21.67,20.29,45070.0,42210.0
"Cincinnati, OH-KY-IN",51-3093,Food Cooking Machine Operators and Tenders,21.07,19.56,43830.0,40680.0
"Cincinnati, OH-KY-IN",51-3099,"Food Processing Workers, All Other",18.92,18.98,39350.0,39480.0
"Cincinnati, OH-KY-IN",51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",22.56,22.17,46930.0,46120.0
"Cincinnati, OH-KY-IN",51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",24.46,24.1,50870.0,50130.0
"Cincinnati, OH-KY-IN",51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",22.42,22.0,46630.0,45750.0
"Cincinnati, OH-KY-IN",51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",23.94,24.36,49790.0,50660.0
"Cincinnati, OH-KY-IN",51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",21.37,19.59,44440.0,40750.0
"Cincinnati, OH-KY-IN",51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",23.96,22.52,49830.0,46830.0
"Cincinnati, OH-KY-IN",51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",24.72,23.48,51420.0,48840.0
"Cincinnati, OH-KY-IN",51-4041,Machinists,27.43,27.39,57050.0,56960.0
"Cincinnati, OH-KY-IN",51-4051,Metal-Refining Furnace Operators and Tenders,26.13,24.27,54350.0,50480.0
"Cincinnati, OH-KY-IN",51-4071,Foundry Mold and Coremakers,22.21,21.53,46190.0,44780.0
"Cincinnati, OH-KY-IN",51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",22.0,21.57,45770.0,44870.0
"Cincinnati, OH-KY-IN",51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",23.72,22.93,49340.0,47690.0
"Cincinnati, OH-KY-IN",51-4111,Tool and Die Makers,31.75,30.54,66040.0,63530.0
"Cincinnati, OH-KY-IN",51-4121,"Welders, Cutters, Solderers, and Brazers",26.28,24.53,54660.0,51020.0
"Cincinnati, OH-KY-IN",51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",23.19,22.82,48240.0,47460.0
"Cincinnati, OH-KY-IN",51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",25.54,24.68,53120.0,51330.0
"Cincinnati, OH-KY-IN",51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",22.27,21.24,46310.0,44190.0
"Cincinnati, OH-KY-IN",51-5111,Prepress Technicians and Workers,22.82,22.19,47470.0,46160.0
"Cincinnati, OH-KY-IN",51-5112,Printing Press Operators,22.66,22.59,47140.0,46990.0
"Cincinnati, OH-KY-IN",51-5113,Print Binding and Finishing Workers,19.83,18.11,41250.0,37670.0
"Cincinnati, OH-KY-IN",51-6011,Laundry and Dry-Cleaning Workers,15.31,14.76,31850.0,30700.0
"Cincinnati, OH-KY-IN",51-6021,"Pressers, Textile, Garment, and Related Materials",15.19,14.57,31600.0,30300.0
"Cincinnati, OH-KY-IN",51-6031,Sewing Machine Operators,16.84,16.15,35020.0,33590.0
